Date,baseline_return_1,baseline_return_3,baseline_return_5,baseline_return_10,period,trend_regime,volatility_regime,trend_volatility_regime
2007-09-17,0.011592998937300258,0.056396097444164184,0.09748338669286127,0.12791217043786896,development,,,
2007-09-18,0.040019800594747634,0.06313934502225149,0.08540192245618372,0.14516780499697823,development,,,
2007-09-19,0.0026821772113834186,0.04168032642763886,0.04343324458055098,0.10006648466485357,development,,,
2007-09-20,0.017799388989692133,0.039112528998744844,0.05209387837036239,0.09108025217068105,development,,,
2007-09-21,0.01965006147994197,0.02136590755770751,0.038080315688221456,0.0512595640652691,development,,,
2007-09-24,-5.061650807980378e-05,0.012441478369796588,0.026290234068725882,0.0785871706726371,development,,,
2007-09-25,0.0005873100871669479,0.01696168145325383,0.05533046452282164,0.10204352067625222,development,,,
2007-09-26,0.011704049828849206,0.025542718556899713,0.05380656251080507,0.11777973159202393,development,,,
2007-09-27,0.004983518572267531,0.04290037946862668,0.03790689288195814,0.08642131669652175,development,,,
2007-09-28,0.009449406614059574,0.037269720669869555,0.01266555763342625,0.12922431591033545,development,,,
2007-10-01,0.02797392083004535,0.023051903266176677,0.05094693233379366,0.11817908950236733,development,,,
2007-10-03,-0.000575633447413848,-0.024282100113936833,0.04409357828610205,0.06670630392640287,development,,,
2007-10-04,-0.004281713296590217,0.022868024133224862,0.06080857910214532,0.02742818473638109,development,,,
2007-10-05,-0.01950347598818991,0.0492070755001206,0.04666184622800684,0.005601312063147734,development,,,
2007-10-08,0.0522651383682986,0.09129610070380823,0.12004582811832254,0.02396967991013388,development,,,
2007-10-09,0.021264471729466772,0.018787027296701675,0.06379323190479957,0.027317229364122397,development,,,
2007-10-10,0.01580286397171271,0.04256375446443528,0.02213681158056735,0.010526025672090267,development,,,
2007-10-11,-0.017564622394818485,0.025835702142152472,-0.0315457641845297,0.00790009450491147,development,,,
2007-10-12,0.04458993991415694,0.02412329799579238,-0.039247706786770586,0.05046647730947407,development,,,
2007-10-15,-0.00045851845926436763,-0.05636918304754357,-0.08581907025200264,0.041485544699694454,development,uptrend,,
2007-10-16,-0.01760061131581392,-0.07838981167921422,-0.032727157261528084,0.03708319660670023,development,uptrend,,
2007-10-17,-0.03604692657960451,-0.06613105352058857,-0.009898973959360013,0.06296946524799374,development,uptrend,,
2007-10-18,-0.02705985436141034,0.02114602509000507,0.03891538684151574,0.09441549309951536,development,uptrend,,
2007-10-19,-0.0036038633415020893,0.056393234797703196,0.0960164921796165,0.14024312187665178,development,downtrend,,
2007-10-22,0.05561884586968069,0.07398808267135881,0.13896980402267745,0.12766860643266065,development,downtrend,,
2007-10-23,0.003386483926681061,0.04102156108975441,0.07140899214440921,0.056393292105409776,development,uptrend,,
2007-10-24,0.012711357981412652,0.07398552697403149,0.0730308165810607,0.05151804457694831,development,uptrend,,
2007-10-25,0.024810136979377173,0.054724356382261696,0.05431103838118334,0.024172170553084404,development,uptrend,,
2007-10-26,0.03450752393103329,0.03358790717652593,0.03914939897759351,-0.016080121609736486,development,uptrend,,
2007-10-29,-0.008246623399577269,-0.008635264773694362,-0.011871467468571595,-0.03754085891558989,development,uptrend,,
2007-10-30,0.005409872468147059,0.010819744936293896,-0.014040093324959146,0.011756888198492632,development,uptrend,,
2007-10-31,-0.006326367866563709,-0.009570107705064834,-0.020571447381196983,0.0014059238530004237,development,uptrend,,
2007-11-01,0.013245395423282291,-0.011674098656020426,-0.026661672810160963,0.008881525424675907,development,uptrend,,
2007-11-02,-0.014261888947725399,-0.02521111400217857,-0.053068967762439745,-0.004088066285545144,development,uptrend,,
2007-11-05,-0.010364128652516347,-0.02537156798730278,-0.025944518270400008,-0.011321885072402949,development,uptrend,,
2007-11-06,-8.613151691538867e-06,-0.028586712693547844,0.026891948434242918,-0.038279970495733284,development,uptrend,,
