Date,Open,High,Low,Close,event_return,entry_date_1,entry_price_1,forward_return_1,entry_date_3,entry_price_3,forward_return_3,entry_date_5,entry_price_5,forward_return_5,entry_date_10,entry_price_10,forward_return_10,period,trend_regime,volatility_regime,trend_volatility_regime
2007-10-18,5551.10009765625,5736.7998046875,5269.64990234375,5351.0,-0.03746871224895365,2007-10-19,5360.35009765625,-0.02705985436141034,2007-10-19,5360.35009765625,0.02114602509000507,2007-10-19,5360.35009765625,0.03891538684151574,2007-10-19,5360.35009765625,0.09441549309951536,development,uptrend,,
2007-11-21,5778.7998046875,5790.0498046875,5530.85009765625,5561.0498046875,-0.0380304280250755,2007-11-22,5564.64990234375,-0.008140638761195085,2007-11-22,5564.64990234375,0.030019910668304783,2007-11-22,5564.64990234375,0.009506420578493158,2007-11-22,5564.64990234375,0.0674525988594823,development,downtrend,,
2007-12-17,6037.9501953125,6039.9501953125,5740.60009765625,5777.0,-0.044760849012045356,2007-12-18,5777.60009765625,-0.00610985398298336,2007-12-18,5777.60009765625,-0.001921229830488369,2007-12-18,5777.60009765625,0.05073904344169988,2007-12-18,5777.60009765625,0.06954441254085664,development,downtrend,,
2008-01-18,5907.75,5908.75,5677.0,5705.2998046875,-0.035158693052504186,2008-01-21,5705.0,-0.08697637078220855,2008-01-21,5705.0,-0.08792289178900092,2008-01-21,5705.0,-0.05638035098049954,2008-01-21,5705.0,-0.06796669588080628,development,downtrend,,
2008-02-07,5322.5498046875,5344.60009765625,5113.85009765625,5133.25,-0.03556562392723617,2008-02-08,5132.10009765625,-0.0022895110727411128,2008-02-08,5132.10009765625,-0.05725728104766448,2008-02-08,5132.10009765625,0.013620136204216315,2008-02-08,5132.10009765625,0.011632607684038287,development,downtrend,,
2008-03-03,5222.7998046875,5222.7998046875,4936.0498046875,4953.0,-0.05178520149325161,2008-03-04,4958.5498046875,-0.019017617731368786,2008-03-04,4958.5498046875,-0.03770249657561564,2008-03-04,4958.5498046875,-0.018684878844246855,2008-03-04,4958.5498046875,-0.08582142389398051,development,downtrend,,
2008-03-13,4868.7001953125,4868.7998046875,4580.14990234375,4623.60009765625,-0.050985201630490584,2008-03-14,4623.7998046875,0.026385225388936506,2008-03-14,4623.7998046875,-0.019637486163533557,2008-03-14,4623.7998046875,-0.0030169357715504885,2008-03-14,4623.7998046875,0.02394139019606234,development,downtrend,,
2008-03-31,4942.14990234375,4947.0,4703.85009765625,4734.5,-0.04198704977741807,2008-04-01,4735.64990234375,0.000823519986521859,2008-04-01,4735.64990234375,0.007591396335000944,2008-04-01,4735.64990234375,0.005395308668426857,2008-04-01,4735.64990234375,0.03040765321962091,development,downtrend,,
2008-06-20,4504.2001953125,4532.0,4333.60009765625,4347.5498046875,-0.03478940896098126,2008-06-23,4351.14990234375,-0.01947760980478963,2008-06-23,4351.14990234375,-0.02263769399140736,2008-06-23,4351.14990234375,-0.049297313311237434,2008-06-23,4351.14990234375,-0.07702559320312574,development,downtrend,,
2008-07-01,4039.75,4075.39990234375,3878.199951171875,3896.75,-0.035589225994077545,2008-07-02,3895.300048828125,0.05084333590366352,2008-07-02,3895.300048828125,0.03098604720018594,2008-07-02,3895.300048828125,0.023939105802145644,2008-07-02,3895.300048828125,-0.008779798922592286,development,downtrend,,
