period,regime,horizon,event_n,baseline_n,event_mean,baseline_mean,mean_difference,status,partition
development,downtrend,1,31,1231,-0.004898385315319054,-0.0008428545830361848,-0.004055530732282869,inferential,trend
development,downtrend,3,31,1231,-0.006095905812120079,2.5410109346396425e-05,-0.006121315921466476,inferential,trend
development,downtrend,5,31,1231,0.0008796515530395309,0.0011720959355364575,-0.0002924443824969266,inferential,trend
development,downtrend,10,31,1231,-0.005445352439489844,0.003069765419888809,-0.008515117859378654,inferential,trend
development,uptrend,1,7,1751,0.006953914466017801,-0.00037355769445867964,0.007327472160476481,descriptive_only,trend
development,uptrend,3,7,1751,0.0372530926232012,0.00025673007842549623,0.0369963625447757,descriptive_only,trend
development,uptrend,5,7,1751,0.04482830329091277,0.0007029425181186461,0.04412536077279413,descriptive_only,trend
development,uptrend,10,7,1751,0.048751181882723885,0.002378642857536705,0.046372539025187176,descriptive_only,trend
oos,downtrend,1,12,613,0.00723511141466258,-0.0004277074861304374,0.0076628189007930175,inferential,trend
oos,downtrend,3,12,613,0.00016244616427444716,0.00038571207950012444,-0.00022326591522567728,inferential,trend
oos,downtrend,5,12,612,-0.0007075362343750927,0.0017206354399246662,-0.002428171674299759,inferential,trend
oos,downtrend,10,12,607,-0.0017843636959726423,0.003941351935074578,-0.00572571563104722,inferential,trend
oos,uptrend,1,3,970,0.0003264671702184474,-0.0005925050441845218,0.0009189722144029692,descriptive_only,trend
oos,uptrend,3,3,968,0.005932472760619108,0.00044983328621175277,0.0054826394744073555,descriptive_only,trend
oos,uptrend,5,3,967,0.02028575716200498,0.0012492882196066062,0.019036468942398375,descriptive_only,trend
oos,uptrend,10,3,967,0.008172133495571221,0.003858055723157144,0.004314077772414077,descriptive_only,trend
development,high,1,12,816,-0.0010273324535991502,-0.0009272477287474537,-0.00010008472485169642,inferential,volatility
development,high,3,12,816,0.0021278058015189913,-0.0006791566090666628,0.002806962410585654,inferential,volatility
development,high,5,12,816,0.00042407689427774914,7.118765443334663e-05,0.0003528892398444025,inferential,volatility
development,high,10,12,816,-0.026155594041795488,0.003004943591397831,-0.029160537633193317,inferential,volatility
development,low,1,6,1118,-0.0038416419252526404,-0.00014223770872767258,-0.003699404216524968,descriptive_only,volatility
development,low,3,6,1118,-0.00218976182955651,0.0009518136029993789,-0.003141575432555889,descriptive_only,volatility
development,low,5,6,1118,0.007972911046231176,0.00252487371230102,0.005448037333930155,descriptive_only,volatility
development,low,10,6,1118,0.018451257811387622,0.006588871890478089,0.011862385920909532,descriptive_only,volatility
development,medium,1,7,815,0.0007243120922917504,-0.0006007403023837704,0.0013250523946755207,descriptive_only,volatility
development,medium,3,7,815,0.013198804208509067,0.0008894961042579623,0.012309308104251106,descriptive_only,volatility
development,medium,5,7,815,0.009151655593949528,0.001186129651754435,0.007965525942195094,descriptive_only,volatility
development,medium,10,7,815,0.028754706366499825,0.0011026896671974178,0.027652016699302406,descriptive_only,volatility
oos,high,1,13,522,0.005471846528216118,-0.0005481753985742292,0.006020021926790347,inferential,volatility
oos,high,3,13,522,-0.0019959318846435145,-0.0004426729370979593,-0.0015532589475455551,inferential,volatility
oos,high,5,13,521,0.0011800454812872507,5.873343367104872e-05,0.001121312047616202,inferential,volatility
oos,high,10,13,518,-0.007186970609343129,0.0009470336856976243,-0.008134004295040752,inferential,volatility
oos,low,1,0,594,,-0.0004043998657434077,,descriptive_only,volatility
oos,low,3,0,594,,0.0006329684921755976,,descriptive_only,volatility
oos,low,5,0,594,,0.0023955629695049563,,descriptive_only,volatility
oos,low,10,0,594,,0.006090701728027992,,descriptive_only,volatility
oos,medium,1,2,467,0.00833336680989838,-0.0006649967956094484,0.008998363605507828,descriptive_only,volatility
oos,medium,3,2,465,0.02284694337675819,0.0011332733647298554,0.021713670012028334,descriptive_only,volatility
oos,medium,5,2,464,0.018513122708389784,0.001740357919751991,0.016772764788637793,descriptive_only,volatility
oos,medium,10,2,462,0.04826732702825132,0.0043608230156779865,0.04390650401257333,descriptive_only,volatility
development,downtrend_high,1,11,432,-0.0036502317628917588,-0.0012181647782615209,-0.0024320669846302377,inferential,trend_volatility
development,downtrend_high,3,11,432,-0.0019893849155972225,-0.0008983130545209501,-0.0010910718610762722,inferential,trend_volatility
development,downtrend_high,5,11,432,-0.0006922769593902155,-0.00024562951152494797,-0.00044664744786526754,inferential,trend_volatility
